id,tenant_scope,actor_role,source_menu,frontend_route,layout_guard_file,layout_guard_roles,menu_visibility_roles,action,backend_endpoint,backend_controller_method,backend_enforcement,backend_enforcement_file,test_reference,status,severity,root_cause,ui_class,maker_checker_role,notification_channel,component_id
M01,id_madrasah,ALL_AUTHENTICATED,Beranda,/,none,ALL_AUTHENTICATED,ALL_AUTHENTICATED,view dashboard,GET /api/v1/me + composite reads,various,tenant-scope only (SetTenantContext),backend/app/Http/Middleware/SetTenantContext.php,none found,PASS,-,Landing page intentionally open to all authenticated tenant users; consistent frontend/backend.,shared,none,none,
M02,id_madrasah,Kepala Madrasah,Kotak Persetujuan,/persetujuan,app/persetujuan/layout.tsx,Kepala Madrasah,Kepala Madrasah,approve/reject pindah-rombel,POST /api/v1/persetujuan/pindah-rombel/{id}/setujui,PersetujuanController::approvePindahRombel,isKepalaMadrasah() explicit check,backend/app/Http/Controllers/Api/PersetujuanController.php:104-108,tests/Feature/Auth/AuthorizationGuardTest.php::guru_biasa_dilarang_menyetujui_pindah_rombel,PASS,-,Correctly gated and covered by a negative test.,executive,approver,actionable,app/persetujuan/page.tsx
M03,id_madrasah,Kepala Madrasah,Kotak Persetujuan,/persetujuan,app/persetujuan/layout.tsx,Kepala Madrasah,Kepala Madrasah,approve/reject mutasi,"POST /api/v1/persetujuan/mutasi/{id}/setujui, /tolak",PersetujuanController::approveMutasi,isKepalaMadrasah() explicit check,backend/app/Http/Controllers/Api/PersetujuanController.php:161-208,none found,PASS,-,Enforced consistently with M02 pattern; no dedicated test but logic mirrors tested M02.,executive,approver,actionable,app/persetujuan/page.tsx
M04,id_madrasah,"Admin Madrasah, Operator Kesiswaan, Kepala Madrasah, Guru BK, Wali Kelas",Data Siswa Induk,/kesiswaan/siswa,app/kesiswaan/layout.tsx,"Admin,Kamad,Operator,Wali Kelas,Guru BK","Admin,Kamad,Operator,Wali Kelas,Guru BK",CRUD siswa,GET/POST/PUT/DELETE /api/v1/siswa,SiswaController,SiswaPolicy (isAdminOrOpsOrKamad for CRUD; delete Admin-only),backend/app/Policies/SiswaPolicy.php,tests/Unit/Policies/SiswaPolicyTest.php,PASS,-,Policy fully enforced and covered by SiswaPolicyTest.,shared,none,none,
M05,id_madrasah,"Admin Madrasah, Operator Kesiswaan, Kepala Madrasah",Kenaikan Kelas,/kesiswaan/kenaikan-kelas,app/kesiswaan/layout.tsx,"Admin,Kamad,Operator,Wali Kelas,Guru BK","Admin,Operator,Kamad",list kenaikan-kelas data,GET /api/v1/kenaikan-kelas,KenaikanKelasController::index,EnforceApiContract middleware (Admin/Operator/Kamad only),backend/app/Http/Middleware/EnforceApiContract.php,tests/Feature/Auth/AuthorizationGuardTest.php,PASS,-,Gated via EnforceApiContract middleware.,shared,none,none,
M06,id_madrasah,"Admin Madrasah, Operator Kesiswaan, Kepala Madrasah",Kenaikan Kelas,/kesiswaan/kenaikan-kelas,app/kesiswaan/layout.tsx,"Admin,Operator","Admin,Operator,Kamad",process/execute kenaikan kelas,"POST /api/v1/kenaikan-kelas/proses, /pemetaan, /proses-massal",KenaikanKelasController,isAdminOrKamad() explicit check,backend/app/Http/Controllers/Api/KenaikanKelasController.php:39-144,tests/Feature/Auth/AuthorizationGuardTest.php::guru_bk_dilarang_memproses_kenaikan_kelas,PASS,-,Mutating actions are correctly gated and tested.,shared,none,none,
M07,id_madrasah,"Admin Madrasah, Operator Kesiswaan, Kepala Madrasah, Wali Kelas",Pindah Rombel,/kesiswaan/pindah-rombel,app/kesiswaan/layout.tsx,"Admin,Kamad,Operator,Wali Kelas,Guru BK","Admin,Operator,Kamad,Wali Kelas",submit pindah-rombel request,POST /api/v1/pindah-rombel,PindahRombelController::store,EnforceApiContract middleware (Admin/Operator/Kamad/Wali Kelas),backend/app/Http/Middleware/EnforceApiContract.php,none found,PASS,-,Enforced via central middleware and frontend menu visibility synchronized.,operational,maker,informational,app/kesiswaan/pindah-rombel/page.tsx
M08,id_madrasah,Kepala Madrasah,Pindah Rombel,/persetujuan,app/persetujuan/layout.tsx,Kepala Madrasah,Kepala Madrasah,approve/reject pindah-rombel,POST /api/v1/persetujuan/pindah-rombel/{id}/setujui,PersetujuanController::approvePindahRombel,Guarded by PersetujuanController (isKepalaMadrasah); shadow endpoints in PindahRombelController removed,backend/app/Http/Controllers/Api/PersetujuanController.php:104-141,tests/Feature/Auth/AuthorizationGuardTest.php::guru_biasa_dilarang_menyetujui_pindah_rombel,PASS,-,Duplicate shadow endpoint in PindahRombelController removed.,executive,approver,actionable,app/persetujuan/page.tsx
M09,id_madrasah,"Admin Madrasah, Operator Kesiswaan, Kepala Madrasah",Mutasi,/kesiswaan/mutasi,app/kesiswaan/layout.tsx,"Admin,Kamad,Operator,Wali Kelas,Guru BK","Admin,Operator,Kamad",submit mutasi,POST /api/v1/mutasi,MutasiController::store,"authorize('create', RiwayatMutasi::class) -> RiwayatMutasiPolicy::create -> isAdminOrOpsOrKamad()",backend/app/Http/Controllers/Api/MutasiController.php:40 + app/Policies/RiwayatMutasiPolicy.php,tests/Feature/Kesiswaan/MutasiControllerTest.php,PASS,-,Correct pattern: Policy-based authorization tested and verified.,operational,maker,informational,app/kesiswaan/mutasi/page.tsx
M10,id_madrasah,Kepala Madrasah,Mutasi,/persetujuan,app/persetujuan/layout.tsx,Kepala Madrasah,Kepala Madrasah,approve/reject mutasi,POST /api/v1/persetujuan/mutasi/{id}/setujui,PersetujuanController::approveMutasi,"authorize('approve', $mutasi) -> RiwayatMutasiPolicy::approve -> isKepalaMadrasah()",backend/app/Http/Controllers/Api/PersetujuanController.php:158-200,none found,PASS,-,Centralized approval in PersetujuanController; shadow methods in MutasiController removed.,executive,approver,actionable,app/persetujuan/page.tsx
