module,menu,route,layout,page,widget,child_component,state,label,action,frontend_guard,api_endpoint,http_method,backend_guard,row_scope,tenant_scope,allowed_actor,denied_actor,expected_behavior,ssot_reference,evidence_source,status
Auth,None,/auth/login,none,LoginPage,LoginForm,InputFields,initial,Masuk,login,ALL_UNAUTHENTICATED,/api/v1/login,POST,public,none,none,ALL,none,Authenticates user credentials and issues Sanctum token,doc/backend.md Bab 6.1,tests/Feature/Auth/SanctumAuthTest.php,SOURCE_VERIFIED
Auth,None,/auth/login,none,LoginPage,Header,LogoutBtn,authenticated,Keluar,logout,ALL_AUTHENTICATED,/api/v1/logout,POST,auth:sanctum,none,none,ALL_AUTHENTICATED,none,Revokes current Sanctum token,doc/backend.md Bab 6.1,backend/app/Http/Controllers/Api/AuthController.php,SOURCE_VERIFIED
Auth,Beranda,/,RootLayout,DashboardPage,UserProfile,UserBadges,authenticated,Profil Saya,getMe,ALL_AUTHENTICATED,/api/v1/me,GET,auth:sanctum + set.tenant,none,id_madrasah,ALL_AUTHENTICATED,none,Returns authenticated user info & calculated capability flags,doc/backend.md Bab 6.1,tests/Feature/Auth/AuthorizationGuardTest.php,SOURCE_VERIFIED
Madrasah,Beranda,/,RootLayout,DashboardPage,Header,MadrasahInfo,authenticated,Profil Madrasah,getMadrasahCurrent,ALL_AUTHENTICATED,/api/v1/madrasah/current,GET,BelongsToTenant,none,id_madrasah,ALL_AUTHENTICATED,none,Returns current tenant madrasah profile details,doc/backend.md Bab 7,tests/Feature/Madrasah/MadrasahTest.php,SOURCE_VERIFIED
Persetujuan,Kotak Persetujuan,/persetujuan,PersetujuanLayout,PersetujuanPage,PendingList,PersetujuanCard,pending,Lihat Permohonan,fetchPending,isKepalaMadrasah,/api/v1/persetujuan/pending,GET,isKepalaMadrasah(),none,id_madrasah,Kepala Madrasah,Admin;Operator;Guru,Returns pending approval requests for Kamad review,doc/backend.md Bab 7,tests/Feature/Kesiswaan/KeanggotaanN1Test.php,SOURCE_VERIFIED
Persetujuan,Kotak Persetujuan,/persetujuan,PersetujuanLayout,PersetujuanPage,PendingList,ApproveBtn,pending,Setujui Pindah Rombel,approvePindahRombel,isKepalaMadrasah,/api/v1/persetujuan/pindah-rombel/{id}/setujui,POST,isKepalaMadrasah(),none,id_madrasah,Kepala Madrasah,Admin;Operator;Guru,Approves transfer request and closes previous rombel record,doc/backend.md Bab 7,tests/Feature/Auth/AuthorizationGuardTest.php,SOURCE_VERIFIED
Persetujuan,Kotak Persetujuan,/persetujuan,PersetujuanLayout,PersetujuanPage,PendingList,RejectBtn,pending,Tolak Pindah Rombel,rejectPindahRombel,isKepalaMadrasah,/api/v1/persetujuan/pindah-rombel/{id}/tolak,POST,isKepalaMadrasah(),none,id_madrasah,Kepala Madrasah,Admin;Operator;Guru,Rejects transfer request and keeps previous rombel active,doc/backend.md Bab 7,backend/app/Http/Controllers/Api/PersetujuanController.php,SOURCE_VERIFIED
Persetujuan,Kotak Persetujuan,/persetujuan,PersetujuanLayout,PersetujuanPage,PendingList,ApproveMutasiBtn,pending,Setujui Mutasi,approveMutasi,isKepalaMadrasah,/api/v1/persetujuan/mutasi/{id}/setujui,POST,isKepalaMadrasah(),none,id_madrasah,Kepala Madrasah,Admin;Operator;Guru,Approves mutasi request and closes student rombel membership,doc/backend.md Bab 7,tests/Feature/Kesiswaan/KesiswaanWorkflowTest.php,SOURCE_VERIFIED
Persetujuan,Kotak Persetujuan,/persetujuan,PersetujuanLayout,PersetujuanPage,PendingList,RejectMutasiBtn,pending,Tolak Mutasi,rejectMutasi,isKepalaMadrasah,/api/v1/persetujuan/mutasi/{id}/tolak,POST,isKepalaMadrasah(),none,id_madrasah,Kepala Madrasah,Admin;Operator;Guru,Rejects mutasi request,doc/backend.md Bab 7,backend/app/Http/Controllers/Api/PersetujuanController.php,SOURCE_VERIFIED
Persetujuan,Kotak Persetujuan,/persetujuan,PersetujuanLayout,PersetujuanPage,SkpPreviewModal,SkpPdfView,pending,Pratinjau SKP,previewMutasiSkp,isKepalaMadrasah,/api/v1/persetujuan/mutasi/{id}/preview-skp,GET,isKepalaMadrasah(),none,id_madrasah,Kepala Madrasah,Admin;Operator;Guru,Generates draft SKP document for Kamad review,doc/backend.md Bab 7,tests/Feature/Kesiswaan/KesiswaanWorkflowTest.php,SOURCE_VERIFIED
